,id,name,start_timestamp,sport,league,teams,scores
734,,Los Angeles Lakers - Memphis Grizzlies,2017-01-04 03:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Memphis Grizzlies']","{'Los Angeles Lakers': 116, 'Memphis Grizzlies': 102}"
735,,Denver Nuggets - Sacramento Kings,2017-01-04 02:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Sacramento Kings']","{'Denver Nuggets': 113, 'Sacramento Kings': 120}"
736,,Phoenix Suns - Miami Heat,2017-01-04 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Miami Heat']","{'Phoenix Suns': 99, 'Miami Heat': 90}"
737,,Dallas Mavericks - Washington Wizards,2017-01-04 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Washington Wizards']","{'Dallas Mavericks': 113, 'Washington Wizards': 105}"
738,,San Antonio Spurs - Toronto Raptors,2017-01-04 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Toronto Raptors']","{'San Antonio Spurs': 110, 'Toronto Raptors': 82}"
739,,Boston Celtics - Utah Jazz,2017-01-04 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Utah Jazz']","{'Boston Celtics': 115, 'Utah Jazz': 104}"
740,,Detroit Pistons - Indiana Pacers,2017-01-04 00:30:00+00:00,basketball,NBA,"['Detroit Pistons', 'Indiana Pacers']","{'Detroit Pistons': 116, 'Indiana Pacers': 121}"
741,,Philadelphia 76ers - Minnesota Timberwolves,2017-01-04 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Minnesota Timberwolves']","{'Philadelphia 76ers': 93, 'Minnesota Timberwolves': 91}"
742,,Golden State Warriors - Denver Nuggets,2017-01-03 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Denver Nuggets']","{'Golden State Warriors': 127, 'Denver Nuggets': 119}"
743,,Los Angeles Clippers - Phoenix Suns,2017-01-03 03:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Phoenix Suns']","{'Los Angeles Clippers': 109, 'Phoenix Suns': 98}"
744,,Chicago Bulls - Charlotte Hornets,2017-01-03 01:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Charlotte Hornets']","{'Chicago Bulls': 118, 'Charlotte Hornets': 111}"
745,,Houston Rockets - Washington Wizards,2017-01-03 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Washington Wizards']","{'Houston Rockets': 101, 'Washington Wizards': 91}"
746,,Brooklyn Nets - Utah Jazz,2017-01-03 00:30:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Utah Jazz']","{'Brooklyn Nets': 89, 'Utah Jazz': 101}"
747,,New York Knicks - Orlando Magic,2017-01-03 00:30:00+00:00,basketball,NBA,"['New York Knicks', 'Orlando Magic']","{'New York Knicks': 103, 'Orlando Magic': 115}"
748,,Cleveland Cavaliers - New Orleans Pelicans,2017-01-03 00:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'New Orleans Pelicans']","{'Cleveland Cavaliers': 90, 'New Orleans Pelicans': 82}"
749,,Milwaukee Bucks - Oklahoma City Thunder,2017-01-03 00:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Oklahoma City Thunder']","{'Milwaukee Bucks': 98, 'Oklahoma City Thunder': 94}"
750,,Los Angeles Lakers - Toronto Raptors,2017-01-02 02:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Toronto Raptors']","{'Los Angeles Lakers': 114, 'Toronto Raptors': 123}"
751,,Minnesota Timberwolves - Portland Trail Blazers,2017-01-02 00:00:00+00:00,basketball,NBA,"['Minnesota Timberwolves', 'Portland Trail Blazers']","{'Minnesota Timberwolves': 89, 'Portland Trail Blazers': 95}"
752,,Atlanta Hawks - San Antonio Spurs,2017-01-01 23:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'San Antonio Spurs']","{'Atlanta Hawks': 114, 'San Antonio Spurs': 112}"
753,,Indiana Pacers - Orlando Magic,2017-01-01 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Orlando Magic']","{'Indiana Pacers': 117, 'Orlando Magic': 104}"
754,,Miami Heat - Detroit Pistons,2017-01-01 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Detroit Pistons']","{'Miami Heat': 98, 'Detroit Pistons': 107}"
755,,Houston Rockets - New York Knicks,2017-01-01 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'New York Knicks']","{'Houston Rockets': 129, 'New York Knicks': 122}"
756,,Oklahoma City Thunder - Los Angeles Clippers,2017-01-01 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Los Angeles Clippers']","{'Oklahoma City Thunder': 114, 'Los Angeles Clippers': 88}"
757,,Utah Jazz - Phoenix Suns,2017-01-01 01:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Phoenix Suns']","{'Utah Jazz': 91, 'Phoenix Suns': 86}"
758,,Charlotte Hornets - Cleveland Cavaliers,2017-01-01 00:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Cleveland Cavaliers']","{'Charlotte Hornets': 109, 'Cleveland Cavaliers': 121}"
759,,Chicago Bulls - Milwaukee Bucks,2017-01-01 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Milwaukee Bucks']","{'Chicago Bulls': 96, 'Milwaukee Bucks': 116}"
760,,Sacramento Kings - Memphis Grizzlies,2016-12-31 22:10:00+00:00,basketball,NBA,"['Sacramento Kings', 'Memphis Grizzlies']","{'Sacramento Kings': 98, 'Memphis Grizzlies': 112}"
761,,Golden State Warriors - Dallas Mavericks,2016-12-31 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Dallas Mavericks']","{'Golden State Warriors': 108, 'Dallas Mavericks': 99}"
762,,Denver Nuggets - Philadelphia 76ers,2016-12-31 02:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Philadelphia 76ers']","{'Denver Nuggets': 122, 'Philadelphia 76ers': 124}"
763,,San Antonio Spurs - Portland Trail Blazers,2016-12-31 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Portland Trail Blazers']","{'San Antonio Spurs': 110, 'Portland Trail Blazers': 94}"
764,,Atlanta Hawks - Detroit Pistons,2016-12-31 01:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Detroit Pistons']","{'Atlanta Hawks': 105, 'Detroit Pistons': 98}"
765,,Houston Rockets - Los Angeles Clippers,2016-12-31 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Los Angeles Clippers']","{'Houston Rockets': 140, 'Los Angeles Clippers': 116}"
